Order Date,Brand,Sneaker,Sale,Retail,Profit,ProfitPercent,Buyer Region,brand,Order,sneaker,sale_average
, Yeezy,350-V2-Beluga-2pt0,342,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,325,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,374,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,379,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,365,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,360,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,361,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,369,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,359,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,380,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,386,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,385,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,425,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,365,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,375,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,359,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,375,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,398,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,370,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,350,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,360,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,400,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,415,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Beluga-2pt0,346,220,,,,Adidas,15-Jan,,
