Brand,Sneaker,Sale,Retail,Order
 Yeezy,350-V2-Beluga-2pt0,$440,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$387,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$399,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$380,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$392,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$409,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$490,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$412,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$410,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$440,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$394,$220,16-Jan
 Yeezy,350-V2-Beluga-2pt0,$350,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$369,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$333,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$333,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$350,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$320,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$705,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$381,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$360,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$359,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$368,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$330,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$375,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$346,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$335,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$355,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$352,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$360,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$384,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$399,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$379,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$365,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$349,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$380,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$365,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$379,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$344,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$350,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$368,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$362,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$339,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$338,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$380,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$339,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$335,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$335,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$380,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$400,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$335,$220,16-Jan
 Yeezy,350-V2-Blue-Tint,$389,$220,16-Jan
 Yeezy,350-V2-Core-Black-Green,$662,$220,16-Jan
 Yeezy,350-V2-Core-Black-Red-2017,$795,$220,16-Jan
 Yeezy,350-V2-Core-Black-Red-2017,$721,$220,16-Jan
 Yeezy,350-V2-Core-Black-White,$715,$220,16-Jan
 Yeezy,350-V2-Core-Black-White,$739,$220,16-Jan
 Yeezy,350-V2-Core-Black-White,$691,$220,16-Jan
 Yeezy,350-V2-Cream-White,$445,$220,16-Jan
 Yeezy,350-V2-Cream-White,$465,$220,16-Jan
 Yeezy,350-V2-Cream-White,$420,$220,16-Jan
 Yeezy,350-V2-Cream-White,$480,$220,16-Jan
 Yeezy,350-V2-Cream-White,$407,$220,16-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$510,$220,16-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$788,$220,16-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$610,$220,16-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$542,$220,16-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$680,$220,16-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$760,$220,16-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$600,$220,16-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$647,$220,16-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$575,$220,16-Jan
 Yeezy,350-V2-Zebra,$501,$220,16-Jan
 Yeezy,350-V2-Zebra,$501,$220,16-Jan
 Yeezy,350-V2-Zebra,$535,$220,16-Jan
 Yeezy,350-V2-Zebra,$517,$220,16-Jan
 Yeezy,350-V2-Zebra,$565,$220,16-Jan
 Yeezy,350-Low-Pirate-Black-2015,$815,$200,17-Jan
 Yeezy,350-Low-V2-Beluga,$895,$220,17-Jan
 Yeezy,350-Low-V2-Beluga,$850,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$385,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$377,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$418,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$353,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$371,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$370,$220,17-Jan
 Yeezy,350-V2-Beluga-2pt0,$402,$220,17-Jan
